Afghanistan,153982,7167,0
Albania,156162,2539,0
Algeria,199822,5558,0
Andorra,15083,130,0
Angola,50348,1327,0
Antigua and Barbuda,2166,48,0
Argentina,5223604,113356,0
Armenia,248397,4995,0
Australia,73603,1091,0
Austria,708173,10837,0
Azerbaijan,455044,6031,0
Bahamas,19335,453,0
Bahrain,273622,1388,0
Bangladesh,1528542,26880,0
Barbados,5844,52,0
Belarus,501166,3905,0
Belgium,1205516,25454,0
Belize,17405,373,0
Benin,19841,141,0
Bhutan,2596,3,0
Bolivia,494664,18568,0
Bosnia and Herzegovina,220636,9995,0
Botswana,163665,2325,0
Brazil,20989164,586558,0
Brunei,4035,19,0
Bulgaria,470835,19469,0
Burkina Faso,13929,171,0
Burma,429880,16451,0
Burundi,14047,38,0
Cabo Verde,36519,320,0
Cambodia,98842,2028,0
Cameroon,84210,1357,0
Canada,1547067,27235,0
Central African Republic,11309,100,0
Chad,5014,174,0
Chile,1643630,37201,0
China,107404,4848,0
Colombia,4928578,125592,0
Comoros,4094,147,0
Congo (Brazzaville),13701,183,0
Congo (Kinshasa),56096,1068,0
Costa Rica,489784,5754,0
Cote d'Ivoire,57784,506,0
Croatia,383108,8427,0
Cuba,737168,6219,0
Cyprus,117695,536,0
Czechia,1682926,30413,0
Denmark,353364,2613,0
Diamond Princess,712,13,0
Djibouti,11845,157,0
Dominica,2280,6,0
Dominican Republic,353071,4014,0
Ecuador,505262,32444,0
Egypt,292476,16860,0
El Salvador,98122,3013,0
Equatorial Guinea,10498,131,0
Eritrea,6655,40,0
Estonia,146378,1310,0
Eswatini,44831,1169,0
Ethiopia,322632,4907,0
Fiji,48858,535,0
Finland,132662,1043,0
France,6982683,116095,0
Gabon,26638,170,0
Gambia,9820,328,0
Georgia,579031,8146,0
Germany,4080180,92612,0
Ghana,122779,1087,0
Greece,613838,14141,0
Grenada,2345,24,0
Guatemala,509654,12665,0
Guinea,30001,365,0
Guinea-Bissau,6021,125,0
Guyana,27782,674,0
Haiti,21162,588,0
Holy See,27,0,0
Honduras,350879,9319,0
Hungary,814732,30086,0
Iceland,11234,33,0
India,33236921,442655,0
Indonesia,4163732,138701,0
Iran,5275567,113824,0
Iraq,1947211,21445,0
Ireland,365313,5155,0
Israel,1165682,7338,0
Italy,4601749,129885,0
Jamaica,75297,1704,0
Japan,1637534,16759,0
Jordan,806012,10531,0
Kazakhstan,912241,14423,0
Kenya,243456,4902,0
Kiribati,2,0,0
South Korea,272982,2359,0
Kosovo,156578,2772,0
Kuwait,410734,2430,0
Kyrgyzstan,177083,2569,0
Laos,17140,16,0
Latvia,146800,2607,0
Lebanon,612713,8181,0
Lesotho,14395,403,0
Liberia,5727,245,0
Libya,322487,4410,0
Liechtenstein,3493,58,0
Lithuania,307622,4669,0
Luxembourg,76632,834,0
MS Zaandam,9,2,0
Madagascar,42894,958,0
Malawi,61098,2236,0
Maldives,82684,227,0
Mali,14981,543,0
Malta,36708,447,0
Marshall Islands,4,0,0
Mauritania,34771,749,0
Mauritius,13114,42,0
Mexico,3506743,267524,0
Micronesia,1,0,0
Moldova,274599,6507,0
Monaco,3275,33,0
Mongolia,252648,1021,0
Montenegro,121351,1798,0
Morocco,902694,13488,0
Mozambique,149088,1892,0
Namibia,126203,3431,0
Nepal,776325,10936,0
Netherlands,2005482,18450,0
New Zealand,3914,27,0
Nicaragua,12350,201,0
Niger,5919,199,0
Nigeria,198786,2590,0
North Macedonia,183059,6236,0
Norway,175489,827,0
Oman,302924,4084,0
Pakistan,1204520,26720,0
Palau,2,0,0
Panama,462010,7131,0
Papua New Guinea,18381,196,0
Paraguay,459207,16093,0
Peru,2160327,198728,0
Philippines,2206021,34978,0
Poland,2893173,75425,0
Portugal,1054673,17853,0
Qatar,234509,604,0
Romania,1118549,34961,0
Russia,7019200,188546,0
Rwanda,92025,1158,0
Saint Kitts and Nevis,1439,7,0
Saint Lucia,9527,132,0
Saint Vincent and the Grenadines,2446,12,0
Samoa,3,0,0
San Marino,5373,90,0
Sao Tome and Principe,2814,39,0
Saudi Arabia,545829,8610,0
Senegal,73440,1828,0
Serbia,811909,7520,0
Seychelles,20593,106,0
Sierra Leone,6379,121,0
Singapore,71167,58,0
Slovakia,784662,12558,0
Slovenia,275615,4469,0
Solomon Islands,20,0,0
Somalia,18373,1023,0
South Africa,2854234,84751,0
South Sudan,11610,120,0
Spain,4907461,85290,0
Sri Lanka,483280,11152,0
Sudan,37931,2837,0
Summer Olympics 2020,865,0,0
Suriname,33076,761,0
Sweden,1138017,14703,0
Switzerland,808058,10951,0
Syria,29358,2071,0
Taiwan*,16074,839,0
Tajikistan,17442,125,0
Tanzania,1367,50,0
Thailand,1368144,14173,0
Timor-Leste,18382,90,0
Togo,23618,205,0
Trinidad and Tobago,46995,1368,0
Tunisia,683700,24158,0
Turkey,6636869,59643,0
US,41063968,660297,0
Uganda,121296,3092,0
Ukraine,2416739,57735,0
United Arab Emirates,728266,2062,0
United Kingdom,7231111,134469,0
Uruguay,386562,6039,0
Uzbekistan,163770,1148,0
Vanuatu,4,1,0
Venezuela,346755,4192,0
Vietnam,601349,15018,0
West Bank and Gaza,368160,3799,0
Yemen,8358,1569,0
Zambia,207836,3629,0
Zimbabwe,126220,4536,0
Malaysia,1960500,20419,1700730
Tonga,0,0,0
