US,58601,820,16944
Italy,193,15,825
Brazil,44571,1223,32832
Russia,6534,172,8615
Mexico,6995,782,4879
Japan,206,1,0
Canada,311,21,387
Colombia,4213,154,1491
Peru,3633,181,3810
Spain,383,4,0
India,24879,487,19547
United Kingdom,637,126,3
China,33,0,48
Chile,2064,139,3490
Netherlands,52,3,0
Australia,170,0,86
Pakistan,3359,61,4346
Germany,356,14,492
Sweden,514,35,0
Ukraine,835,24,942
Denmark,12,0,18
France,0,0,0
Afghanistan,210,16,521
Albania,68,2,47
Algeria,469,10,235
Andorra,0,0,2
Angola,0,0,0
Antigua and Barbuda,0,0,0
Argentina,3604,50,6407
Armenia,535,18,520
Austria,92,0,35
Azerbaijan,542,9,465
Bahamas,2,0,0
Bahrain,610,0,503
Bangladesh,3489,46,2736
Barbados,0,0,0
Belarus,221,7,952
Belgium,65,2,16
Belize,0,0,0
Benin,0,0,0
Bhutan,0,0,0
Bolivia,1439,47,485
Bosnia and Herzegovina,248,2,76
Botswana,0,0,0
Brunei,0,0,0
Bulgaria,240,5,129
Burkina Faso,0,0,1
Burma,1,0,5
Burundi,0,0,0
Cabo Verde,43,0,6
Cambodia,0,0,0
Cameroon,0,0,0
Central African Republic,38,0,74
Chad,0,0,0
Comoros,2,0,6
Congo (Brazzaville),264,3,24
Congo (Kinshasa),0,0,0
Costa Rica,350,2,119
Cote d'Ivoire,310,2,84
Croatia,53,1,48
Cuba,4,0,2
Cyprus,3,0,0
Czechia,129,0,100
Diamond Princess,0,0,0
Djibouti,11,0,23
Dominica,0,0,0
Dominican Republic,1158,8,492
Ecuador,0,0,0
Egypt,1025,75,523
El Salvador,259,6,204
Equatorial Guinea,0,0,0
Eritrea,0,0,0
Estonia,8,0,2
Eswatini,82,0,18
Ethiopia,928,17,0
Fiji,0,0,0
Finland,3,0,100
Gabon,128,0,108
Gambia,0,0,0
Georgia,5,0,3
Ghana,854,0,408
Greece,33,0,0
Grenada,0,0,0
Guatemala,624,49,143
Guinea,61,0,35
Guinea-Bissau,0,0,0
Guyana,0,0,0
Haiti,54,6,101
Holy See,0,0,0
Honduras,550,17,84
Hungary,5,0,11
Iceland,7,0,3
Indonesia,1853,50,800
Iran,2691,153,2463
Iraq,2741,94,1627
Ireland,4,-4,0
Israel,1335,2,111
Jamaica,6,0,1
Jordan,0,0,8
Kazakhstan,0,0,0
Kenya,278,2,89
South Korea,49,2,49
Kosovo,183,3,57
Kuwait,762,2,593
Kyrgyzstan,568,9,86
Laos,0,0,0
Latvia,7,0,0
Lebanon,39,0,20
Lesotho,0,0,0
Liberia,9,0,1
Libya,86,1,11
Liechtenstein,0,0,0
Lithuania,10,0,5
Luxembourg,47,0,0
MS Zaandam,0,0,0
Madagascar,101,0,574
Malawi,46,5,28
Malaysia,3,0,5
Maldives,16,1,22
Mali,10,1,41
Malta,0,0,1
Mauritania,63,4,50
Mauritius,0,0,0
Moldova,330,11,308
Monaco,0,0,0
Mongolia,0,0,2
Montenegro,53,0,0
Morocco,164,2,677
Mozambique,31,0,57
Namibia,54,0,0
Nepal,255,0,253
New Zealand,3,0,2
Nicaragua,0,0,0
Niger,3,0,2
Nigeria,460,15,265
North Macedonia,162,8,230
Norway,3,0,0
Oman,1210,9,1005
Panama,960,20,743
Papua New Guinea,0,0,0
Paraguay,52,0,19
Philippines,2486,5,202
Poland,277,14,640
Portugal,443,2,269
Qatar,608,4,1204
Romania,555,18,265
Rwanda,22,0,15
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,0
San Marino,0,0,0
Sao Tome and Principe,0,0,4
Saudi Arabia,3036,42,3211
Senegal,110,4,74
Serbia,357,11,115
Seychelles,10,0,0
Sierra Leone,12,0,34
Singapore,158,0,321
Slovakia,31,0,0
Slovenia,24,0,6
Somalia,13,0,51
South Africa,8810,100,4543
South Sudan,0,0,0
Sri Lanka,13,0,12
Sudan,87,14,40
Suriname,31,2,29
Switzerland,129,0,100
Syria,0,0,0
Taiwan*,0,0,0
Tajikistan,49,1,46
Tanzania,0,0,0
Thailand,0,0,0
Timor-Leste,0,0,0
Togo,6,0,8
Trinidad and Tobago,0,0,0
Tunisia,16,0,1
Turkey,1041,22,2219
Uganda,6,0,8
United Arab Emirates,445,1,568
Uruguay,9,0,6
Uzbekistan,254,4,249
Venezuela,315,4,0
Vietnam,0,0,5
West Bank and Gaza,382,2,0
Western Sahara,0,0,0
Yemen,21,3,4
Zambia,0,0,0
Zimbabwe,98,0,5
