an,4104,56,3859
ap,783114,6429,740229
ar,13405,30,10552
as,200604,872,171680
br,204212,996,192594
ch,13646,208,12554
ct,160396,1478,132168
dateymd,8080,8080,8080
dd,0,0,0
dl,331017,6009,301716
dn,3179,2,3085
ga,40587,544,36395
gj,159725,3637,141755
hp,18967,263,16038
hr,150033,1640,138350
jh,96327,839,89011
jk,87942,1379,77886
ka,765586,9889,645826
kl,341859,1161,245394
la,5598,66,4615
ld,0,0,0
mh,1595381,42114,1369810
ml,8508,75,6282
mn,15461,116,11741
mp,160188,2774,144134
mz,2253,0,2148
nl,7816,21,6142
or,268364,1188,246837
pb,127630,4012,117883
py,33139,574,28284
rj,173266,1748,150369
sk,3610,60,3185
tg,221601,1271,198790
tn,687400,10642,637637
tr,29464,326,26199
tt,7548589,114060,6660783
un,0,0,0
up,455146,6658,415592
ut,58024,927,50990
wb,321037,6056,281053
