an,0,0,6
ap,2100,26,3435
ar,426,2,267
as,2640,31,2521
br,76,5,202
ch,12,1,38
ct,319,1,443
dateymd,2021,2021,2021
dd,0,0,0
dl,54,2,132
dn,0,0,3
ga,130,2,281
gj,62,2,194
hp,158,1,165
hr,54,10,117
jh,46,2,93
jk,274,6,461
ka,2848,67,5631
kl,8037,102,11346
la,9,0,19
ld,36,0,32
mh,6740,106,13027
ml,377,9,448
mn,432,8,609
mp,32,6,39
mz,88,3,365
nl,40,0,81
or,2803,52,3326
pb,134,12,328
py,128,1,262
rj,55,3,140
sk,95,1,324
tg,808,7,1061
tn,3715,54,4029
tr,226,4,366
tt,34026,552,51933
un,0,0,0
up,118,6,195
ut,69,2,250
wb,885,18,1697
